Q1;Is talkative;A3
Q2;Tends to find fault with others;A4
Q3;Does a thorough job;A2
Q4;Is depressed, blue;A2
Q5;Is original, comes up with new ideas;A4
Q6;Is reserved;A3
Q7;Is helpful and unselfish with others;A2
Q8;Can be somewhat careless;A5
Q9;Is relaxed, handles stress well;A2
Q10;Is curious about many different things;A3
Q11;Is full of energy;A1
Q12;Starts quarrels with others;A2
Q13;Is a reliable worker;A2
Q14;Can be tense;A3
Q15;Is ingenious, a deep thinker;A3
Q16;Generates a lot of enthusiasm;A3
Q17;Has a forgiving nature;A4
Q18;Tends to be disorganized;A4
Q19;Worries a lot;A4
Q20;Has an active imagination;A4
Q21;Tends to be quiet;A4
Q22;Is generally trusting;A2
Q23;Tends to be lazy;A5
Q24;Is emotionally stable, not easily upset;A2
Q25;Is inventive;A3
Q26;Has an assertive personality;A2
Q27;Can be cold and aloof;A4
Q28;Perseveres until the task is finished;A2
Q29;Can be moody;A5
Q30;Values artistic, aesthetic experiences;A4
Q31;Is sometimes shy, inhibited;A4
Q32;Is considerate and kind to almost everyone;A2
Q33;Does things efficiently;A2
Q34;Remains calm in tense situations;A2
Q35;Prefers work that is routine;A3
Q36;Is outgoing, sociable;A3
Q37;Is sometimes rude to others;A4
Q38;Makes plans and follows through with them;A2
Q39;Gets nervous easily;A4
Q40;Likes to reflect, play with ideas;A4
Q41;Has few artistic interests;A4
Q42;Likes to cooperate with others;A4
Q43;Is easily distracted;A5
Q44;Is sophisticated in art, music, or literature;A2
