Q1;Is talkative;A4
Q2;Tends to find fault with others;A4
Q3;Does a thorough job;A4
Q4;Is depressed, blue;A1
Q5;Is original, comes up with new ideas;A5
Q6;Is reserved;A3
Q7;Is helpful and unselfish with others;A4
Q8;Can be somewhat careless;A4
Q9;Is relaxed, handles stress well;A5
Q10;Is curious about many different things;A4
Q11;Is full of energy;A4
Q12;Starts quarrels with others;A1
Q13;Is a reliable worker;A4
Q14;Can be tense;A3
Q15;Is ingenious, a deep thinker;A4
Q16;Generates a lot of enthusiasm;A5
Q17;Has a forgiving nature;A4
Q18;Tends to be disorganized;A5
Q19;Worries a lot;A1
Q20;Has an active imagination;A5
Q21;Tends to be quiet;A4
Q22;Is generally trusting;A4
Q23;Tends to be lazy;A5
Q24;Is emotionally stable, not easily upset;A5
Q25;Is inventive;A5
Q26;Has an assertive personality;A3
Q27;Can be cold and aloof;A4
Q28;Perseveres until the task is finished;A4
Q29;Can be moody;A1
Q30;Values artistic, aesthetic experiences;A5
Q31;Is sometimes shy, inhibited;A4
Q32;Is considerate and kind to almost everyone;A4
Q33;Does things efficiently;A5
Q34;Remains calm in tense situations;A5
Q35;Prefers work that is routine;A1
Q36;Is outgoing, sociable;A4
Q37;Is sometimes rude to others;A4
Q38;Makes plans and follows through with them;A3
Q39;Gets nervous easily;A1
Q40;Likes to reflect, play with ideas;A4
Q41;Has few artistic interests;A1
Q42;Likes to cooperate with others;A4
Q43;Is easily distracted;A4
Q44;Is sophisticated in art, music, or literature;A5
