Q1;Is talkative;A2
Q2;Tends to find fault with others;A4
Q3;Does a thorough job;A2
Q4;Is depressed, blue;A2
Q5;Is original, comes up with new ideas;A2
Q6;Is reserved;A4
Q7;Is helpful and unselfish with others;A2
Q8;Can be somewhat careless;A5
Q9;Is relaxed, handles stress well;A2
Q10;Is curious about many different things;A2
Q11;Is full of energy;A2
Q12;Starts quarrels with others;A4
Q13;Is a reliable worker;A2
Q14;Can be tense;A4
Q15;Is ingenious, a deep thinker;A1
Q16;Generates a lot of enthusiasm;A1
Q17;Has a forgiving nature;A1
Q18;Tends to be disorganized;A5
Q19;Worries a lot;A3
Q20;Has an active imagination;A2
Q21;Tends to be quiet;A4
Q22;Is generally trusting;A2
Q23;Tends to be lazy;A5
Q24;Is emotionally stable, not easily upset;A2
Q25;Is inventive;A1
Q26;Has an assertive personality;A2
Q27;Can be cold and aloof;A4
Q28;Perseveres until the task is finished;A1
Q29;Can be moody;A4
Q30;Values artistic, aesthetic experiences;A2
Q31;Is sometimes shy, inhibited;A3
Q32;Is considerate and kind to almost everyone;A2
Q33;Does things efficiently;A2
Q34;Remains calm in tense situations;A2
Q35;Prefers work that is routine;A4
Q36;Is outgoing, sociable;A2
Q37;Is sometimes rude to others;A4
Q38;Makes plans and follows through with them;A1
Q39;Gets nervous easily;A4
Q40;Likes to reflect, play with ideas;A1
Q41;Has few artistic interests;A4
Q42;Likes to cooperate with others;A2
Q43;Is easily distracted;A4
Q44;Is sophisticated in art, music, or literature;A1
